sample_id,fastq1,fastq2
231ESRP.25K.rep-1,https://lifebit-featured-datasets.s3-eu-west-1.amazonaws.com/pipelines/rmats/reads/replicates/231ESRP.25K.rep-1.R1.fastq,https://lifebit-featured-datasets.s3-eu-west-1.amazonaws.com/pipelines/rmats/reads/replicates/231ESRP.25K.rep-1.R2.fastq
231ESRP.25K.rep-2,https://lifebit-featured-datasets.s3-eu-west-1.amazonaws.com/pipelines/rmats/reads/replicates/231ESRP.25K.rep-2.R1.fastq,https://lifebit-featured-datasets.s3-eu-west-1.amazonaws.com/pipelines/rmats/reads/replicates/231ESRP.25K.rep-2.R2.fastq
231EV.25K.rep-1,https://lifebit-featured-datasets.s3-eu-west-1.amazonaws.com/pipelines/rmats/reads/replicates/231EV.25K.rep-1.R1.fastq,https://lifebit-featured-datasets.s3-eu-west-1.amazonaws.com/pipelines/rmats/reads/replicates/231EV.25K.rep-1.R2.fastq
231EV.25K.rep-2,https://lifebit-featured-datasets.s3-eu-west-1.amazonaws.com/pipelines/rmats/reads/replicates/231EV.25K.rep-2.R1.fastq,https://lifebit-featured-datasets.s3-eu-west-1.amazonaws.com/pipelines/rmats/reads/replicates/231EV.25K.rep-2.R2.fastq
